Foster's Australian Grand Prix,09 Mar 2003,"Melbourne Grand Prix Circuit, Australia",58
Petronas Malaysian Grand Prix,23 Mar 2003,"Sepang International Circuit, Malaysia",56
e Prêmio do Brasil 2003,06 Apr 2003,"Autódromo José Carlos Pace, Brazil",54
Premio Foster's di San Marino 2003,20 Apr 2003,"Autodromo Enzo e Dino Ferrari, San Marino",62
Premio Marlboro de España 2003,04 May 2003,"Circuit de Catalunya, Spain",65
and Prix von Österreich 2003,18 May 2003,"A1-Ring, Austria",69
 Prix de Monaco 2003,01 Jun 2003,"Circuit de Monaco, Monaco",78
 Prix Air Canada 2003,15 Jun 2003,"Circuit Gilles-Villeneuve, Canada",70
Allianz Grand Prix of Europe,29 Jun 2003,"Nürburgring, Germany",60
 1 Grand Prix de France 2003,06 Jul 2003,"Circuit de Nevers Magny-Cours, France",70
Foster's British Grand Prix,20 Jul 2003,"Silverstone Circuit, Great Britain",60
er Mobil 1 Preis von Deutschland 2003,03 Aug 2003,"Hockenheimring, Germany",67
oro Magyar Nagydíj 2003,24 Aug 2003,"Hungaroring, Hungary",70
Premio Vodafone d'Italia 2003,14 Sep 2003,"Autodromo Nazionale Monza, Italy",53
United States Grand Prix,28 Sep 2003,"Indianapolis Motor Speedway, United States",73
Fuji Television Japanese Grand Prix,12 Oct 2003,"Suzuka International Racing Course, Japan",53
